title,page_number,chunk_content
uni_safe,1,"คู่มือความปลอดภัย อาชีวอนามัย
และสภาพแวดล้อมในการทำงาน
คณะวิทยาศาสตร์และเทคโนโลยี
มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์ บทนำ
คู่มือความปลอดภัยเล่มนี้ จัดทำขึ้นเพื่อส่งเสริมให้บุคลากรมีความรู้ ความเข้าใจ มีจิตสำนึกและทัศนคติที่
ดีในการปฏิบัติงานด้วยความปลอดภัย และเป็นการรณรงค์ป้องกันการเกิดอุบัติเหตุซึ่งก่อให้เกิดความเสียหายทั้ง
ชีวิตและถทรัพย์สิน อีกทั้งยังเป็นการยกระดับมาตรฐานการจัดการความปลอดภัย สนับสนุนการจัดการด้านความ
ปลอดภัยให้เพียงพอ และสนับสนุนให้มีการดำเนินงานทุกวิถีทางเพื่อลดอุบัติเหตุและขจัดสภาพแวดล้อมในการ
ทำงานที่ไม่ปลอดภัยในทุกขั้นตอน มีการประเมินผลด้านความปลอดภัย อาชีวอนามัย ละสภาพแวดล้อมในการ
Safety Culture
ทำงาน เพื่อให้เกิดเป็น อย่างต่อเนื่องภายในองค์กร และเพื่อให้เป็นไปตามกฎหมาย มาตรฐาน
Safety Faculty
และกฎระเบียบแห่งความปลอดภัยอย่างจริงจัง เพื่อให้องค์กรมีความเป็น และส่งเสริมให้เกิดเป็น
Safety University
ในอนาคต โดยถือให้ความปลอดภัยเป็นหน้าที่ของบุคลากรทุกคน"
uni_safe,2,"เป็น และส่งเสริมให้เกิดเป็น
Safety University
ในอนาคต โดยถือให้ความปลอดภัยเป็นหน้าที่ของบุคลากรทุกคน
ผศ.ดร.ปัณณ์รภัส ถกลภักดี
คณบดี คณะวิทยาศาสตร์และเทคโนโลยี
มหาวิทยาลัยราชภัฎวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์ นโยบายความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน สารบัญ
เรื่อง หน้า
คำนิยามศัพท์ 1
สาเหตุการเกิดอุบัติเหตุที่สามารถเกิดขึ้นได้ 2
กฎความปลอดภัยทั่วไป 3
หน้าที่ความรับผิดชอบ 4
หน้าที่ความรับผิดชอบของผู้บริหารระดับสูง 4
หน้าที่ความรับผิดชอบของคณะกรรมการดูแลด้านความปลอดภัย 4
คณะวิทยาศาสตร์และเทคโนโลยี
หน้าที่ความรับผิดชอบของคณะกรรมการความปลอดภัย 5
คณะวิทยาศาสตร์และเทคโนโลยี
หน้าที่ความรับผิดชอบของบุคลากร 5
กิจกรรม 5 ส. สู่ความปลอดภัย 6
ความปลอดภัยในการทำงานสำนักงาน 7
ความปลอดภัยในการใช้โต๊ะทำงาน เก้าอี้ ตู้ 8
ความปลอดภัยในการใช้เครื่องใช้สำนักงาน 8
ความปลอดภัยในการใช้บันได 9
ความปลอดภัยในการทำงานบนที่สูง 10
ความปลอดภัยในการใช้เครื่องมือช่าง 10
ความปลอดภัยในการเคลื่อนย้ายวัสดุสิ่งของห"
uni_safe,4,"ยในการทำงานบนที่สูง 10
ความปลอดภัยในการใช้เครื่องมือช่าง 10
ความปลอดภัยในการเคลื่อนย้ายวัสดุสิ่งของหรือการยกของที่มีน้ำหนักมาก 11
การเคลื่อนย้ายสิ่งของด้วยมือ 11
การเคลื่อนย้ายสิ่งของด้วยรถเข็นหรือเครื่องทุ่นแรง 11
ความปลอดภัยในการใช้ห้องปฏิบัติการ 12
มาตรการป้องกันและควบคมุ โรคติดต่อ 13
การตรวจความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน 14
แบบตรวจความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน 16 1
คำนยิ ามศัพท์
คำจำกัดความต่อไปนี้เป็นคำศัพท์ที่ปรากฎอยู่ในคู่มือความปลอดภัยนี้ สำหรับผู้ใช้ควรทำความเข้าใจศัพท์
ต่างๆ ต่อไปนี้ให้ถูกต้องตรงกัน เพื่อให้การใช้คู่มือดังกล่าวเป็นไปอย่างมีประสิทธิภาพและเกิดประโยชน์สูงสุด
Accident
อุบัติเหตุ ( ) เหตุการณ์ที่ไม่ต้องการให้เกิด ซึ่งเมื่อเกิดขึ้นแล้วส่งผลกระทบมีผลก่อให้เกิดการ
บาดเจ็บแก่บุคคล หรือทรัพย์สินเสียหาย หรือเกิดความสูญเสียต่อสิ่งแวดล้อมขององค์กร
Incident/Near Miss
อุบัติการณ์ ( ) เหตุการณ์ที่ไม่ต้องการให้เกิด ซึ่งทำให้เกิดหรืออาจทำให้เกิ"
uni_safe,5,"องค์กร
Incident/Near Miss
อุบัติการณ์ ( ) เหตุการณ์ที่ไม่ต้องการให้เกิด ซึ่งทำให้เกิดหรืออาจทำให้เกิดความ
สูญเสียต่อบุคคล หรือทรัพย์สินถูกทำลาย ทำให้การทำงานหยุดชะงัก
Accident Prevention
การป้องกันอุบัติเหตุ ( ) โปรแกรมการดำเนินการเพื่อกำจัด ลด ควบคุมป้องกัน
อุบัติเหตแุ ละวัดผลที่กำหนดขึ้น เพื่อลดอุบัติเหตุและศักยภาพที่อาจก่อให้เกิดอุบัติเหตุต่อบุคลากร หรือต่อกิจกรรม
ต่างๆ ขององค์กร
Regulation
กฎ ระเบียบ ข้อบังคับ ( ) กฎ ระเบียบ ข้อบังคับ หรือกฎหมายที่ควบคุมการดำเนินการหรือ
การปฏิบัติงานให้เกิดความปลอดภัย
Safety
ความปลอดภัย ( ) การที่ปราศจากการเกิดอุบัติเหตุ หรือมีสภาวะที่ไม่ปลอดภัย เช่น เกิดความ
เจ็บปวด การบาดเจ็บ การสูญเสีย หรือทรัพย์สินเสียหาย
Unsafe Act
การกระทำที่ไม่ปลอดภัย ( ) การฝ่าฝืนขั้นตอนการปฏิบัติงาน การกระทำการด้วยความ
ประมาท ซึ่งอาจก่อให้เกิดอุบัติเหตุขึ้นได้
Unsafe Condition
สภาพการณ์ที่ไม่ปลอดภัย ( ) สภาพการณ์หรือสภาพแวดล้อมที่มีอันตราย ซึ่งสามารถ
ก่อให้เกิดอุบัติเหตุหรือ"
uni_safe,5,"
สภาพการณ์ที่ไม่ปลอดภัย ( ) สภาพการณ์หรือสภาพแวดล้อมที่มีอันตราย ซึ่งสามารถ
ก่อให้เกิดอุบัติเหตุหรือความสูญเสีย
คู่มือความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน คณะวิทยาศาสตร์และเทคโนโลยี 2
สาเหตุการเกิดอุบัติเหตุที่สามารถเกิดขนึ้ ได้
Unsafe Act 85
การกระทำที่ไม่ปลอดภัย ( ) เป็นสาเหตุของการเกิดอุบัติเหตุ ร้อยละ ซึ่งล้วนเกิดจากการกระทำ
ของมนุษย์ เช่น
1.
การมีสภาพร่างกายที่ไม่พร้อมต่อการทำงาน เช่น พักผ่อนไม่เพียงพอ, ดื่มสุรา, เจ็บป่วย, มีปัญหา
ครอบครัวใช้สารเสพติด เป็นต้น
2.
การทำงานลัดขั้นตอนหรือรีบเร่งเกินไป
3.
การมีทัศนคติที่ไม่ถูกต้อง เช่น อุบัติเหตุเป็นเรื่องของเคราะห์กรรม ไม่สามารถแก้ไขหรือป้องกันได้
4. WI
การไม่ทำตามขั้นตอนการทำงานที่ถูกต้อง ( ) หรือไม่ทำตามที่หัวหน้างานแนะนำ
5.
การฝ่าฝืนกฎระเบยี บ สัญลักษณ์ และป้ายเตือนด้านความปลอดภัย
6.
การยก เคลื่อนย้ายสิ่งของด้วยท่าทางที่ไม่ปลอดภัย
7.
การปฏิบัติงานโดยไม่มีหน้าที่ หรือขาดความรู้ ทักษะ หรือความชำนาญ
8.
การหยอกล้อ เล่นกันระหว่"
uni_safe,6,"ลอดภัย
7.
การปฏิบัติงานโดยไม่มีหน้าที่ หรือขาดความรู้ ทักษะ หรือความชำนาญ
8.
การหยอกล้อ เล่นกันระหว่างปฏิบัติงาน
9.
การแต่งกายไม่เหมาะสมกับสภาพงาน ไม่รัดกุม รุ่มร่าม
Unsafe Condition 15
สภาพการทำงานที่ไม่ปลอดภัย ( ) เป็นสาเหตุของการเกิดอุบัติเหตุ ร้อยละ เช่น
1.
การวางผังอาคาร หรือสถานีงานที่ไม่ถูกต้องเหมาะสม
2.
การไม่จัดให้มีการ์ดครอบป้องกันส่วนที่เป็นอันตรายของเครื่องมือ/เครื่องจักร หรือส่วนที่เคลื่อนไหวต่างๆ
3.
ระบบไฟฟ้า หรืออุปกรณ์ไฟฟ้าชำรุดบกพร่อง ขาดการตรวจสอบและบำรุงรักษา
4.
ความไม่เป็นระเบียบเรียบร้อยและสกปรกบริเวณพื้นที่ปฏิบัติงาน ขาดการจัดเก็บวัสดุสิ่งของ หรือไม่จัดทำ
5 ส.
5.
สภาพและสิ่งแวดล้อมในการทำงานไม่ดี เช่น แสงสว่างไม่เพียงพอ, การระบายอากาศไม่ดี, ฝุ่นละออง,
ความร้อนสูง, ไอระเหยของสารเคมี เป็นต้น
คู่มือความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน คณะวิทยาศาสตร์และเทคโนโลยี 3
กฎความปลอดภัยทั่วไป
1.
ต้องปฏิบัติตามแผนฉุกเฉิน, กฎระเบียบ, เครื่องหมายป้ายเตือน และป้ายห้ามต่าง"
uni_safe,6,"ี 3
กฎความปลอดภัยทั่วไป
1.
ต้องปฏิบัติตามแผนฉุกเฉิน, กฎระเบียบ, เครื่องหมายป้ายเตือน และป้ายห้ามต่างๆ อย่างเคร่งครัด และ
กำจัด ลดผลกระทบที่อาจเกิดขึ้น และมีผลกระทบต่อสิ่งแวดล้อม
2.
ไม่ปฏิบัติงานในสภาวะที่ร่างกายไม่พร้อม เช่น ไม่สบาย, ง่วง ซึม
3.
ต้องปฏิบัติตามลำดับขั้นตอนการทำงานที่ถูกต้อง หากมีข้อสงสัยหรือไม่เข้าใจเกี่ยวกับงาน ควรรีบปรึกษา
หัวหน้างานทันที
4.
ห้ามหยอกล้อเล่นกันในขณะปฏิบัติงาน
5.
ต้องแต่งกายในเรียบร้อยรัดกุม โดยเฉพาะงานที่ต้องปฏิบัติหน้าที่กับเครื่องมือ/เครื่องจักรอันตราย
6. PPE
ต้องใส่อุปกรณ์ป้องกันอันตรายส่วนบุคคล ( ) ที่เหมาะสมตามประเภท และชนิดของงานนั้นๆ
ตลอดเวลาทำงาน
7.
ขณะปฏิบัติงานต้องมีการสื่อสาร ประสานงานที่ดีกับเพื่อนร่วมงาน
8.
การปรับแต่ง, เปลี่ยนแปลงหรือซ่อมแซมอุปกรณ์ใดๆ ไม่ว่าจะเป็นเครื่องมือ/เครื่องจักร อุปกรณ์ไฟฟ้า
ต้องกระทำโดยผู้ที่มีหน้าที่รับผิดชอบเท่านั้น
9.
ไม่รับประทานอาหาร เครื่องดื่ม หรือสูบบุหรี่ในพื้นที่ๆ ไม่ได้รับการอนุญาต (ห้องปฏิบัติการ)
10.
ไม"
uni_safe,7,"
9.
ไม่รับประทานอาหาร เครื่องดื่ม หรือสูบบุหรี่ในพื้นที่ๆ ไม่ได้รับการอนุญาต (ห้องปฏิบัติการ)
10.
ไม่อนุญาตให้ใช้ทางออก หรือประตูฉุกเฉินในสถานการณ์ปกติ
11.
ห้ามฉีดเครื่องดับเพลิงหรือกดสัญญาณแจ้งเหตุฉุกเฉินเล่นโดยไม่มีเหตุอันควร
12.
ผู้รับเหมาที่เข้ามาปรับปรุง แก้ไข ซ่อมแซม ต้องปฏิบัติตามกฎด้านความปลอดภัย หรือต้องได้รับอนุญาต
ก่อนเริ่มงานทุกครั้ง
คู่มือความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน คณะวิทยาศาสตร์และเทคโนโลยี 4
หน้าที่ความรบั ผิดชอบ
หน้าที่ความรับผิดชอบของผู้บริหารระดับสูง
1.
กำหนดนโยบายและเป้าหมายด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน ให้
ผู้ใต้บังคับบัญชาจัดทำแผนและดำเนินงานตามนโยบาย
2.
จัดโครงสร้างการบริหารงานด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงานให้มี
ประสิทธิภาพ
3.
ตรวจสอบ/วัดผล และประเมินผลการดำเนินงานด้านความปฟลอดภัย อาชีวอนามัยและสภาพแวดล้อมใน
การทำงานของหน่วยงาน ให้เป็นไปตามเป้าหมายขององค์กร
4.
ให้ความสนับสนุนและกำหนดทรัพยากรอย่างเพียงพอ"
uni_safe,8,"มใน
การทำงานของหน่วยงาน ให้เป็นไปตามเป้าหมายขององค์กร
4.
ให้ความสนับสนุนและกำหนดทรัพยากรอย่างเพียงพอในการดำเนินงานด้านความปลอดภัย อาชีวอนามัย
และสภาพแวดล้อมในการทำงาน
5.
ปฏิบัติตามกฎระเบียบ ข้อกำหนด คู่มือและมาตรฐานการปฏิบัติงานของหน่วยงานโดยให้มีความปลอดภัย
มากที่สุด
6.
กำกับ ดูแล และฝึกอบรมการปฏิบัตหิ น้าที่ความรับผิดชอบตามแผนระงับเหตุฉุกเฉินขององค์กร
หน้าที่ความรับผิดชอบของคณะกรรมการดูแลด้านความปลอดภัย คณะวิทยาศาสตร์และเทคโนโลยี
1.
กำกับ ดูแล ให้บุคลากรในหน่วยงานที่รับผิดชอบปฏิบัติตามข้อบังคับและคู่มือว่าด้ยความปลอดภัยใน
สถานศกึ ษาที่เหมาะสม
2.
วิเคราะห์งานในหน่วยงานที่รับผิดชอบ เพื่อค้นหาความเสี่ยงหรืออันตรายเบื้องต้น โดยร่วมดำเนินการกับ
คณะกรรมการความปลอดภัยของคณะวิทยาศาสตร์และเทคโนโลยี
3.
สอนวิธีการปฏิบัติงานที่ถูกต้องแก่บุคลากรในหน่วยงานที่รับผิดชอบเพื่อให้เกิดความปลอดภัยในการ
ปฏิบัติงาน
4.
กำกับ ดูแล การดำเนินงานของคณะกรรมการความปลอดภัยของคณะวิทยาศาสตร์และเทคโนโลยี
5.
รายงานการปร"
uni_safe,8,"ติงาน
4.
กำกับ ดูแล การดำเนินงานของคณะกรรมการความปลอดภัยของคณะวิทยาศาสตร์และเทคโนโลยี
5.
รายงานการประสบอันตราย -การเจ็บป่วย หรือการเกิดอุบัติเหตุอันเนื่องมาจากการทำงานของบุคลากร
ทุกระดับของคณะวิทยาศาสตร์และเทคโนโลยี
6.
ตรวจสอบหาสาเหตุการประสบอันตราย การเจ็บป่วย หรือการเกิดอุบัติเหตุอันเนื่องมาจากการทำงานและ
รายงานผล รวมทั้งเสนอแนะแนวทางในการแก้ไขปัญหาต่อผู้บริหารระดับสูง
7.
ส่งเสริมและสนับสนุนกิจกรรมความปลอดภัยในการทำงาน
คู่มือความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน คณะวิทยาศาสตร์และเทคโนโลยี 5
8.
ปฏิบัติงานด้านความปลอดภัยในการทำงานอื่นตามที่ได้รับมอบหมาย
หน้าที่ความรับผิดชอบของคณะกรรมการความปลอดภัย คณะวิทยาศาสตร์และเทคโนโลยี
1.
พิจารณานโยบายและแผนงานด้านความปลอดภัยในการทำงาน เพื่อป้องกันและลดการเกิดอุบัติเหตุ การ
ประสบอันตราย การเจ็บป่วย หรือการเกิดเหตุเดือดร้อนรำคาญอันเนื่องจากการทำงาน หรือความไม่
ปลอดภัยในการทำงานเสนอต่อผู้บังคับบัญชา
2.
รายงานและเสนอแนะมาตรการหรือแนวทางปรับปร"
uni_safe,9,"รทำงาน หรือความไม่
ปลอดภัยในการทำงานเสนอต่อผู้บังคับบัญชา
2.
รายงานและเสนอแนะมาตรการหรือแนวทางปรับปรุงแก้ไขให้เหมาะสมต่อความปลอดภัยในการทำงาน
ของบุคลากรแก่ผู้บังคับบัญชา
3.
ส่งเสริม สนับสนุนกิจกรรมด้านความปลอดภัยในการทำงานขององค์กร
4.
สำรวจและวิเคราะห์การปฏิบัติงานด้านความปลอดภัยในการทำงาน และตรวจสอบสถิติการประสบ
อันตรายที่เกิดขึ้นในองค์กร อย่างน้อยเดือนละ 1 ครั้ง
5.
ให้ความร่วมมือในการจัดการและเข้าร่วมโครงการหรือแผนการฝึกอบรมเกี่ยวกับความปลอดภัยในการ
ทำงาน
6.
ปฏิบัติงานด้านความปลอดภัยในการทำงานอื่นตามที่ได้รับมอบหมาย
หน้าที่ความรับผิดชอบของบุคลากร
1.
ปฏิบัติตามนโยบายความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงานของหน่วยงานอย่าง
เคร่งครัด
2.
ปฏิบัติตามแผนดำเนินงานด้านความปลอดภัย และกิจกรรมของหน่วยงานให้บรรลุตามเป้าหมาย
3.
ตรวจหา แก้ไข รายงานสภาพการที่ไม่ปลอดภัย และข้อบกพร่องที่มีผลกระทบต่อความปลอดภัย อาชีวอ
นามัยและสภาพแวดล้อมในการทำงานให้ผู้บังคับบัญชาทราบ
4.
ร่วมเป็นคณะทำงานหรือคณะกรร"
uni_safe,9,"อความปลอดภัย อาชีวอ
นามัยและสภาพแวดล้อมในการทำงานให้ผู้บังคับบัญชาทราบ
4.
ร่วมเป็นคณะทำงานหรือคณะกรรมการด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน
ตามที่ได้รับการแต่งตั้งหรือมอบหมาย
5.
ให้ความร่วมมือเข้าร่วมโครงการหรือแผนงานที่เกี่ยวข้องกับความปลอดภัยในการทำงาน
6.
รายงานอุบัติเหตุ/อุบัติการณ์ ให้ผู้บังคับบัญชาทราบทันทีเมื่อเกิดเหตุ
7. PPE
ใช้อุปกรณ์ป้องกันอันตรายส่วนบุคคล ( ) ตามมาตรฐานการปฏิบัติงานและตรวจสอบดูแลให้พร้อมใช้
งานอยู่เสมอ
คู่มือความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน คณะวิทยาศาสตร์และเทคโนโลยี 6
8.
ตรวจสอบ ดูแลและใช้เครื่องจักร อุปกรณ์ให้ถูกต้องและปลอดภัยโดยให้มีผลกระทบต่อสิ่งแวดล้อมน้อย
ที่สุด
9.
ฝึกอบรม ปฏิบัติตามหน้าที่ความรับผิดชอบตามแผนระงับเหตุฉุกเฉิน
กิจกรรม 5 ส. สู่ความปลอดภัย
องค์กรได้เล็งเห็นความสำคัญในการดำเนินกิจกรรม 5 ส. เพื่อส่งเสริมให้สถานที่ทำงานน่าอยู่ สะดวกสบาย
และเอื้อให้การทำงานมีประสิทธิภาพ ซึ่งการดำเนินกิจกรรม 5 ส. สามารถปฏิบัติได้ ดัง"
uni_safe,10,"งานน่าอยู่ สะดวกสบาย
และเอื้อให้การทำงานมีประสิทธิภาพ ซึ่งการดำเนินกิจกรรม 5 ส. สามารถปฏิบัติได้ ดังนี้
:
สะสาง แยกรายการสิ่งของที่จำเป็นและไม่จำเป็นออกจากกัน ทิ้งสิ่งของที่ไม่จำเป็น
ออกไป
:
สะดวก เก็บเครื่องมือ อุปกรณ์ไว้ในพื้นที่ที่ใช้ได้สะดวกและเก็บในที่ปลอดภัย
:
สะอาด จัดระเบียบการดูลความสะอาดของสถานที่ทำงาน
:
สุขลักษณะ ดูแลเสื้อผ้าและรักษาสภาพสถานที่ทำงานให้สะอาดเรียบร้อย ไม่ปล่อยให้
สกปรก
:
สร้างนิสัย ปฏิบัติ 4 ส. ข้างต้นจนเป็นนิสัย
คู่มือความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน คณะวิทยาศาสตร์และเทคโนโลยี 7
ความปลอดภัยในการทำงานสำนักงาน
1.
พื้นสำนักงานควรสะอาดอยู่เสมอ
2.
ห้ามวิ่งหรือลื่นไถลในสำนักงาน
3.
ขณะที่มีการขัดหรือทำความสะอาดพื้น ผู้ปฏิบัติงานควรเดินหรือปฏิบัติงานด้วยความระมัดระวังยิ่งขึ้น
4.
หากพบน้ำมันหรือสารเคมีหกบนพื้นสำนักงาน ให้แจ้งเจ้าหน้าที่รับผิดชอบ ดำเนินการจัดหาวัสดุดูดซับ
ทำความสะอาดและนำไปทิ้งอย่างถูกต้อง เพื่อลดปัญหาด้านสิ่งแวดล้อม
5.
หากพบวัสดุหรือเครื่"
